ppid,handedness,gender,age
sub_01,right,female,44.02737851
sub_02,left,male,27.74537988
sub_03,right,female,57.60711841
sub_04,right,male,23.93976728
sub_05,right,male,26.4421629
sub_06,right,male,26.46132786
sub_07,right,female,21.50308008
sub_08,right,female,
sub_09,right,female,36.97741273
sub_10,right,female,49.88911704
sub_11,right,female,36.90896646
sub_12,right,male,27.96440794
sub_13,right,female,36.06297057
sub_14,right,male,39.82477755
sub_15,right,male,29.33880903
sub_16,right,male,24.03285421
sub_17,right,female,56.59685147
sub_18,right,female,26.92950034
sub_19,right,male,31.79739904
sub_20,left,female,33.94113621
sub_21,right,female,24.74469541
sub_22,right,female,42.04791239
sub_23,right,female,33.50855578
sub_24,right,female,61.09787817
sub_25,right,male,27.21971253
sub_26,right,female,22.28336756
